average error,percent correct
0.878309,0.250000
0.884442,0.187500
0.879999,0.250000
0.879754,0.187500
0.878761,0.250000
0.870767,0.350000
0.873801,0.315789
0.888969,0.157895
0.886917,0.157895
0.889313,0.117647
0.892615,0.117647
0.895381,0.062500
0.885493,0.187500
0.875866,0.266667
0.859769,0.400000
0.881136,0.176471
0.883364,0.176471
0.895805,0.058824
0.894821,0.058824
0.881178,0.176471
0.881419,0.176471
0.863683,0.352941
0.855730,0.411765
0.870427,0.294118
0.851516,0.411765
0.863519,0.315789
0.868440,0.263158
0.877114,0.210526
0.871416,0.263158
0.884457,0.157895
0.884239,0.157895
0.878513,0.210526
0.861267,0.333333
0.860203,0.312500
0.890614,0.062500
0.865395,0.300000
0.875928,0.200000
0.875672,0.200000
0.872797,0.200000
0.879173,0.210526
0.886362,0.105263
0.906873,0.052632
0.880667,0.166667
0.866443,0.277778
0.888974,0.111111
0.892510,0.190476
0.863845,0.350000
0.894458,0.100000
0.899195,0.050000
0.902082,0.100000
0.887090,0.200000
0.881791,0.157895
0.883575,0.157895
0.867452,0.315789
0.891724,0.157895
0.885001,0.190476
0.895634,0.142857
0.894919,0.100000
0.890626,0.150000
0.911039,0.000000
0.900407,0.050000
0.905170,0.050000
0.893805,0.050000
[26, 18] - seed: None-0
